file,note,octave,instrument
A0.wav,A,0,piano
A1.wav,A,1,piano
A2.wav,A,2,piano
A3.wav,A,3,piano
A4.wav,A,4,piano
A5.wav,A,5,piano
A6.wav,A,6,piano
A7.wav,A,7,piano
Bb0.wav,Bb,0,piano
Bb1.wav,Bb,1,piano
Bb2.wav,Bb,2,piano
Bb3.wav,Bb,3,piano
Bb4.wav,Bb,4,piano
Bb5.wav,Bb,5,piano
Bb6.wav,Bb,6,piano
Bb7.wav,Bb,7,piano
D1.wav,D,1,piano
D2.wav,D,2,piano
D3.wav,D,3,piano
D4.wav,D,4,piano
D5.wav,D,5,piano
D6.wav,D,6,piano
D7.wav,D,7,piano
Eb1.wav,Eb,1,piano
Eb2.wav,Eb,2,piano
Eb3.wav,Eb,3,piano
Eb4.wav,Eb,4,piano
Eb5.wav,Eb,5,piano
Eb6.wav,Eb,6,piano
Eb7.wav,Eb,7,piano
F1.wav,F,1,piano
F2.wav,F,2,piano
F3.wav,F,3,piano
F4.wav,F,4,piano
F5.wav,F,5,piano
F6.wav,F,6,piano
F7.wav,F,7,piano
G1.wav,G,1,piano
G2.wav,G,2,piano
G3.wav,G,3,piano
G4.wav,G,4,piano
G5.wav,G,5,piano
G6.wav,G,6,piano
G7.wav,G,7,piano